iter	RMSE
551	14327.9852
552	14318.51509
553	14303.19036
554	14301.71524
555	14284.37749
556	14265.46012
557	14258.98632
558	14257.97402
559	14248.22049
560	14247.23052
561	14245.22942
562	14225.05929
563	14203.1906
564	14202.24816
565	14188.72218
566	14188.22795
567	14175.294
568	14151.70021
569	14149.47254
570	14148.52179
571	14144.75814
572	14131.49344
573	14124.52174
574	14113.05427
575	14108.66726
576	14106.74487
577	14086.64421
578	14084.11745
579	14070.69162
580	14054.204
581	14045.39024
582	14036.55896
583	14028.57448
584	14026.71769
585	14015.49114
586	13998.66522
587	13982.99097
588	13969.63839
589	13960.80951
590	13948.68792
591	13941.55228
592	13940.78601
593	13930.64289
594	13929.73947
595	13913.45728
596	13912.56316
597	13893.70698
598	13875.19018
599	13856.1906
600	13834.42756
601	13832.56934
602	13825.42372
603	13814.10955
604	13807.19233
605	13793.25843
606	13783.78564
607	13776.3778
608	13771.24948
609	13760.03261
610	13753.1963
611	13750.03062
612	13749.16713
613	13748.31206
614	13741.4757
615	13740.63428
616	13729.32918
617	13717.90036
618	13714.12627
619	13702.06867
620	13686.34214
621	13672.26262
622	13665.08014
623	13662.0064
624	13649.09514
625	13645.57516
626	13633.78393
627	13620.77193
628	13613.74679
629	13588.71923
630	13582.05901
631	13577.46042
632	13573.41862
633	13571.93024
634	13567.65388
635	13549.99826
636	13543.15547
637	13533.19087
638	13526.75181
639	13512.53477
640	13501.81728
641	13500.99393
642	13492.16833
643	13488.95321
644	13483.43937
645	13473.68641
646	13456.11222
647	13443.85924
648	13434.52299
649	13431.1973
650	13425.91218
651	13421.07819
652	13417.73137
653	13400.96987
654	13397.06697
655	13394.20581
656	13382.57089
657	13381.76786
658	13365.68721
659	13353.07239
660	13346.29274
661	13336.7243
662	13330.58561
663	13324.33939
664	13306.43393
665	13303.7404
666	13295.12265
667	13284.67722
668	13280.53486
669	13278.38057
670	13272.04972
671	13256.2794
672	13239.2743
673	13227.85494
674	13215.74606
675	13212.24179
676	13208.46335
677	13186.64888
678	13181.89081
679	13164.70762
680	13159.98292
681	13144.04093
682	13132.68269
683	13132.18298
684	13124.43939
685	13115.52692
686	13111.40473
687	13110.64361
688	13107.32405
689	13094.28747
690	13083.12003
691	13075.92631
692	13063.6646
693	13048.42711
694	13044.73155
695	13035.69033
696	13017.68711
697	13004.68975
698	12997.55437
699	12993.67262
700	12980.38828
701	12975.73975
702	12970.38225
703	12954.20233
704	12942.01437
705	12929.53287
706	12923.64767
707	12920.13393
708	12919.23504
709	12913.66324
710	12905.48515
711	12894.70579
712	12876.50013
713	12872.66921
714	12859.85268
715	12850.56366
716	12845.60784
717	12841.4118
718	12828.7257
719	12810.87276
720	12810.32792
721	12806.4842
722	12797.53128
723	12786.05931
724	12779.19444
725	12770.02481
726	12768.00749
727	12762.47608
728	12760.01238
729	12744.41899
730	12733.52124
731	12721.18396
732	12709.29706
733	12707.65662
734	12691.72071
735	12672.43938
736	12664.8522
737	12655.95756
738	12638.50037
739	12638.06112
740	12628.81249
741	12617.36944
742	12600.73327
743	12594.44845
744	12585.51992
745	12579.28209
746	12575.43446
747	12567.10495
748	12561.17399
749	12550.17977
750	12534.39062
751	12530.31938
752	12526.5025
753	12517.26076
754	12503.86877
755	12500.37915
756	12498.78906
757	12493.02609
758	12474.63215
759	12466.3575
760	12456.32254
761	12452.26851
762	12447.69688
763	12439.15104
764	12438.51955
765	12438.11779
766	12433.93217
767	12427.43437
768	12425.66679
769	12416.81618
770	12412.82586
771	12410.74982
772	12396.06122
