iter	Passed	Remaining
408	6885	60747
409	6901	60727
410	6917	60699
411	6933	60679
412	6948	60643
413	6962	60599
414	6976	60558
415	6992	60537
416	7008	60512
417	7023	60477
418	7037	60437
419	7049	60377
420	7063	60332
421	7076	60285
422	7090	60246
423	7102	60186
424	7115	60137
425	7131	60113
426	7145	60070
427	7158	60020
428	7171	59972
429	7185	59931
430	7197	59877
431	7209	59819
432	7222	59775
433	7234	59722
434	7247	59670
435	7260	59626
436	7275	59589
437	7286	59529
438	7303	59515
439	7317	59472
440	7329	59422
441	7344	59387
442	7359	59363
443	7371	59307
444	7391	59313
445	7403	59259
446	7417	59220
447	7430	59178
448	7443	59130
449	7456	59085
450	7468	59031
451	7479	58971
452	7493	58936
453	7507	58897
454	7520	58854
455	7539	58850
456	7552	58811
457	7567	58781
458	7583	58756
459	7596	58715
460	7609	58673
461	7623	58636
462	7636	58589
463	7649	58546
464	7663	58510
465	7676	58467
466	7692	58447
467	7704	58395
468	7715	58336
469	7732	58324
470	7749	58312
471	7762	58268
472	7778	58248
473	7791	58204
474	7804	58160
475	7817	58117
476	7830	58080
477	7843	58038
478	7857	58000
479	7870	57956
480	7883	57915
481	7896	57872
482	7908	57826
483	7921	57785
484	7939	57779
485	7953	57746
486	7967	57710
487	7985	57702
488	8002	57694
489	8015	57650
490	8028	57614
491	8042	57577
492	8055	57539
493	8067	57488
494	8081	57454
495	8094	57418
496	8107	57373
497	8120	57336
498	8133	57293
499	8149	57278
500	8167	57272
501	8180	57229
502	8192	57184
503	8205	57147
504	8220	57117
505	8234	57084
506	8247	57048
507	8260	57005
508	8275	56979
509	8288	56943
510	8301	56901
511	8313	56856
512	8328	56835
513	8342	56801
514	8356	56769
515	8372	56751
516	8388	56733
517	8401	56696
518	8416	56669
519	8430	56637
520	8443	56599
521	8456	56561
522	8470	56529
523	8485	56505
524	8499	56471
525	8512	56434
526	8526	56403
527	8539	56364
528	8554	56341
529	8554	56341
530	8569	56301
531	8581	56261
532	8596	56231
533	8608	56190
534	8622	56157
535	8633	56107
536	8646	56071
537	8664	56066
538	8676	56027
539	8691	56000
540	8705	55974
541	8721	55953
542	8735	55922
543	8749	55895
544	8764	55866
545	8777	55835
546	8792	55806
547	8804	55764
548	8817	55733
549	8830	55693
550	8841	55645
551	8854	55607
552	8866	55571
553	8882	55549
554	8895	55513
555	8907	55476
556	9726	60450
557	9741	60416
558	9759	60397
559	9777	60385
560	9791	60345
561	9791	60345
562	9803	60275
563	9814	60221
564	9827	60175
565	9840	60130
566	9852	60078
567	9865	60030
568	9877	59979
569	9890	59939
570	9903	59894
571	10721	64708
572	10733	64644
573	10748	64604
574	10764	64566
575	10776	64506
576	10788	64447
577	10801	64393
578	10815	64345
579	10828	64293
580	10842	64249
581	10854	64187
582	10867	64135
583	10881	64085
584	10894	64037
585	10906	63978
586	10919	63925
587	10932	63873
588	10946	63828
589	10958	63767
590	10972	63720
591	10989	63697
592	11003	63650
593	11016	63599
594	11032	63560
595	11045	63511
596	11059	63468
597	11071	63407
598	11083	63350
599	11094	63288
600	11105	63228
601	11118	63179
602	11132	63134
603	11144	63078
604	11163	63062
605	11176	63012
606	11191	62973
607	11203	62920
608	11216	62869
609	11238	62867
610	11251	62820
611	11266	62779
612	11280	62739
613	11294	62693
614	11308	62648
615	11322	62606
616	11334	62551
617	11347	62504
618	11361	62459
619	11376	62425
620	11388	62367
621	11401	62318
622	11413	62267
623	11426	62217
624	11440	62177
625	11452	62123
626	11465	62072
627	11478	62028
628	11492	61987
629	11504	61933
630	11518	61891
631	11534	61860
632	11546	61805
633	11557	61751
634	11574	61722
635	11588	61682
636	11602	61641
637	11614	61590
638	11626	61540
639	11639	61492
640	11651	61441
641	11665	61398
642	11678	61355
643	11690	61299
644	11704	61261
645	11717	61214
646	11729	61164
647	11742	61119
648	11753	61065
649	11767	61023
650	11786	61011
651	11802	60977
652	11813	60924
653	11827	60882
654	11840	60838
655	11853	60796
656	11866	60750
657	11879	60706
658	11893	60663
659	11904	60612
660	11917	60568
661	11934	60544
662	11947	60500
663	11961	60459
664	11974	60417
665	11993	60403
666	12007	60363
667	12021	60324
668	12034	60282
669	12047	60239
670	12061	60200
671	12074	60155
672	12088	60117
673	12100	60070
674	12114	60028
675	12127	59987
676	12141	59951
677	12153	59900
678	12166	59860
679	12179	59814
680	12195	59786
681	12209	59752
682	12224	59716
683	12238	59679
684	12256	59664
685	12269	59621
686	12283	59584
687	12298	59552
688	12313	59520
689	12331	59498
690	12342	59446
691	12355	59407
692	12370	59372
693	12384	59337
694	12403	59322
695	12416	59285
696	12431	59251
697	12446	59217
698	12466	59211
699	12483	59187
